RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1776.5674645826225,1789.6396388455396,1806.943123446383,1821.038513222207,1836.7034048517037,1846.6702053502188,1860.888748257884,1871.2600023888488,1883.677394839885,1889.486191711795,1897.0807742472368,1904.5052564079215,1915.3918764326008,1928.299318316981,1942.7412449352007,1956.373427444885,1969.4154280870634,1979.8934162615565,1988.699879758194,1995.572900297943,2001.4431415363802,2002.7478749198845,2000.00379897337,1998.9265355020384,2017.4182145105426,2037.981230280414,2065.0052245374345,2077.255141090367,2092.8661326089855,2102.3792750285675,2112.783521383757,2119.085584470369,2124.619101999043,2127.149201260654,2130.5328667953736,2135.984002473237,2145.923257364588,2160.310460571324,2171.5914367672935,2183.6499454427753,2193.1285810296285,2206.7081541252446,2218.2070322213613,2228.8179271957024,2234.5862007888772,2238.7684331671444,2243.926865381115,2248.5156150971084,2255.0185658737755,2259.1793676170805,2272.46500267696,2284.285979788712,2297.9654010045424,2308.0292560288326,2316.2129393188316,2322.6808790739688,2325.8305945977495,2327.23654208395,2328.2683640526325,2331.21604524513,2338.0566936870077,2342.306535361348,2343.448573166184,2334.059054431653,2325.648216455064,2319.4273562346143,2320.2269574708107,2319.9942804504335,2316.3582793684423,2313.102787336055,2312.42633326236,2309.7901128107756,2309.6670040369672,2312.1753783488916,2322.1306371897817,2334.9982029074913,2355.1911918839546,2387.7673063251586,2426.5387643282857,2468.433808829518,2500.6423602332043,2525.709975668827,2540.2546995998805,2558.519368896018,2576.880374700595,2601.798838766554,2624.739111969449,2651.7231277151463,2678.3822689184067,2700.6766069131386,2722.204591452796,2739.528991539144,2751.1437445455504,2750.2472049539015,2743.671467333031,2738.87687622099,2737.467470088142,2747.0287721016903,2757.5036001998415,2771.995961186731,2777.228510972749,2785.5369058717565,2792.9298678007895,2801.705621912834,2803.5960235126736,2800.984907183784,2790.870322627144,2783.335135265679,2785.10289245337
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1445.1208152222787,1454.748127955323,1466.0874172119454,1475.7671760277442,1487.6425157871063,1497.095281102357,1503.4019331668774,1505.8660294412527,1500.328947105054,1491.9391216580575,1483.2110319320007,1482.3964072465199,1491.933370999226,1503.3542683052133,1516.9672289438445,1525.54805379583,1535.660186405388,1546.2851326124426,1553.8856747208592,1558.5060012072054,1550.7686210264994,1535.4064748421606,1515.2357450533666,1503.3651550376858,1513.4323564764684,1533.298220262914,1556.7902859155174,1568.5122642853137,1579.776676328349,1585.9907260875457,1587.9229678374518,1582.4300719664755,1573.834437475993,1561.6580832239372,1552.6097427354432,1551.6151594662842,1560.5293288995108,1574.1886184047928,1586.6544416695808,1597.9694669074006,1608.2806470563073,1617.7440717404327,1622.2948560046566,1618.8468110131773,1606.304064534333,1593.250399309088,1585.696447553075,1586.322783355613,1595.525904385751,1607.0268541447595,1624.188485069981,1638.3025115556825,1650.4796991464166,1658.3988387619572,1661.7905283746081,1663.1392247389006,1657.8805586677747,1649.7112013063806,1640.109740697274,1634.6344833442013,1644.1595568246244,1657.3682771779017,1671.8050235009684,1671.8808655020616,1669.495346471573,1665.889229719012,1663.501741720915,1654.3903065216127,1635.8705083531015,1610.3277167022886,1589.8727627351784,1579.113735706281,1577.292220732409,1586.0170807224072,1605.7815621055881,1636.0098178705146,1665.787235074014,1690.8455813730577,1708.5192594071384,1719.635943855097,1722.9081311827633,1722.0668925815573,1720.3797603520159,1726.99328354438,1742.3701929006088,1762.7738810928465,1785.5909598768435,1808.3926949217196,1833.4029713065079,1853.0740638169043,1870.0739607642497,1876.2123916022647,1876.4085825041439,1873.5659300307675,1868.35501276029,1869.364479816234,1875.7220246468028,1889.1099840445438,1906.2255433900532,1925.1064430927534,1950.088286443744,1970.4400228136665,1982.1175791403155,1987.074698664597,1981.658544871398,1969.5769288560457,1958.4128175472385,1960.9572422668207,1973.6163671427996
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1206.425013440102,1209.6285127780252,1215.8156171090557,1227.4975881851128,1237.6564513599435,1247.1480516382494,1248.1461736473905,1249.1909800670612,1244.37972242693,1240.8767760112444,1237.75462874742,1237.8062497240917,1239.2467391616376,1240.8989448300488,1246.3065918287223,1251.698683519565,1255.5803207362371,1255.2662546348201,1252.9578277380576,1247.8867515331308,1240.0998244373761,1229.240915223262,1218.9643254554715,1213.4921063973873,1222.569669190149,1236.567448398867,1251.44791565711,1254.920934218278,1262.6607676264794,1263.3633879766046,1264.4340360118451,1259.802053705177,1266.959189143271,1275.747171492511,1287.5891145171786,1296.6647346906389,1298.476951379735,1304.0354690662125,1302.9735740052847,1311.815375756431,1313.4635813440973,1319.1425884416708,1318.1184964060624,1316.940031892987,1312.605328801728,1311.2916605501302,1313.0151183016021,1313.6812854971545,1315.2701927863316,1313.252118124733,1318.5304394552002,1324.0051827056047,1333.7759738428247,1340.9587371023713,1344.7204815478192,1344.246183759951,1340.6862897510061,1339.9621985144722,1339.310462485433,1343.028996022844,1346.1172805833164,1352.8963546408622,1358.8844403395626,1355.5815071922664,1349.0633632143774,1342.1083719285803,1345.7858022420053,1349.354465239062,1349.9909547058742,1351.1600338353458,1353.5799255814263,1353.780182940884,1353.404358880553,1349.3747995151903,1354.7567683423401,1366.9538216118608,1390.0272553455627,1417.6155162566702,1442.1618815766103,1463.9955986274963,1476.6659474377889,1485.2028591284882,1489.877721290299,1493.3718538706792,1499.8105818737188,1508.4983995432572,1518.7556062650904,1530.3136232130373,1541.4548558443553,1556.3523703478043,1567.5108325803387,1575.6036624024264,1573.0272717414234,1569.2907358716443,1565.3575604514424,1563.3894295879256,1568.6043838661958,1575.075863813433,1585.2565007552141,1589.9061462692148,1599.097787782142,1608.3662804209685,1615.9891285823123,1617.3360939654071,1615.5284127699142,1610.8721833398286,1606.7151317516575,1606.0004538396313,1608.716707470916
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,955.5785695700033,971.1712603913074,978.7639762959906,991.8499963346924,991.6554682009672,998.9718657728614,999.2472447211705,1000.7766853501934,1004.3709378738766,1007.2655840101435,1010.6348077603311,1012.2174282408329,1017.6559018080729,1022.9227097089251,1030.9531436254017,1044.7399513605515,1054.651640185029,1061.8716326942706,1058.641457272808,1058.0987440626611,1058.7211282203932,1059.6171931298456,1061.4549228663673,1061.7773292074635,1066.5888667859433,1074.0603563863601,1085.388751516584,1096.049039816602,1106.5911415817905,1113.7923198364701,1119.3259561185828,1121.8035926708133,1123.955933303597,1127.4120910987433,1130.515930403904,1133.4103159568824,1136.5416145757436,1143.7417421180335,1156.0571471218893,1169.9264345160025,1181.2713873511132,1189.4659951666617,1196.7950109966762,1202.8243142207755,1208.3502695997854,1212.2087830600535,1217.1886383002068,1223.4873480512683,1228.0061942194152,1237.1616878213736,1247.036833309665,1262.3716877988331,1274.4486845153206,1286.3176964853076,1295.3055660696255,1303.1999701680886,1308.512444392587,1311.9119454171487,1317.044002342926,1324.0649361133942,1334.0993144862937,1343.919135312057,1349.9294926587766,1348.8246917152537,1347.0022188581806,1350.080929418598,1363.8975552507995,1382.700086589108,1400.3148847701962,1416.3655041007314,1429.6316104984744,1439.7697333099338,1451.3593606707725,1463.4140792891262,1485.7913859764772,1515.8572116763644,1560.7423378046838,1611.644649985258,1662.8112422870645,1706.3604221475869,1739.222364577852,1761.9756120237967,1775.9802737328112,1784.5488289084276,1794.2050973944538,1804.5908528044545,1820.4391301244018,1833.3702606017625,1844.6819903908474,1853.2862449773756,1859.1235399779048,1858.054068482926,1850.7902073072132,1840.550807163128,1830.47728884277,1822.8376357388163,1818.1923766273128,1822.903517895187,1836.3974591562276,1848.342327334113,1856.980671384261,1857.4422990358562,1861.053096348883,1860.6318889550237,1858.492465232905,1853.904365355532,1844.183059745407,1836.573507734359,1833.6076401762787
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1700.0159698365962,1710.7979630909294,1720.9389441082196,1722.6176529506918,1733.247571964321,1742.3369697638693,1759.895805246417,1770.9006212889997,1780.3848797425678,1784.8782116396208,1783.2239944778114,1789.7387050374205,1793.7138015082855,1804.8991321067267,1815.7184943076788,1828.3867977253763,1844.5144920868845,1858.1764846128797,1869.0486625195613,1869.9946598681197,1871.63815204398,1873.7333698234147,1876.7526651068522,1879.8579098452694,1888.1162794818767,1904.9703458340239,1923.2975689726659,1940.3768320017825,1957.0436929392754,1969.5660915209182,1980.6218579524989,1985.4815491390277,1989.286522229238,1991.1724814912284,1991.8546472545713,1993.2583941203138,2002.6264902738876,2015.1526014273488,2029.8549917556893,2042.5010985481588,2058.803204870344,2070.4933930665966,2079.44564466512,2088.4869523079383,2094.9535224741862,2096.1529780193987,2090.0109254924073,2091.752700719354,2097.715618214913,2104.888661865083,2110.710847657014,2120.4780682647925,2132.6812010721947,2146.4719671578277,2158.861921927672,2168.7791177416984,2170.3542921479066,2170.9777008652377,2168.520689182786,2173.991331176642,2177.5449282576906,2186.336797102324,2190.403710131304,2181.524592811202,2173.0827156560526,2170.241561018484,2183.779067274227,2194.9293411299955,2207.6648263826355,2223.374571318583,2239.602194197647,2248.91179602073,2254.993952990373,2264.4105911325587,2285.2905989014116,2319.777232068499,2360.003771967327,2405.164306014093,2454.6136652145983,2510.840688349136,2564.679030065301,2598.283787023146,2619.7443978093565,2637.5607175119067,2657.5860664307975,2685.536449079385,2716.5470443876416,2762.111931858424,2809.036948362701,2856.093273235129,2891.769980403781,2920.667257191689,2927.645618784386,2921.3975331993784,2900.9129486033726,2885.5667098171675,2877.2603058075515,2882.9816002948255,2908.8423569110128,2943.663854584945,2982.325174386758,3008.274887644609,3027.1818717539204,3035.2092079110203,3033.045781314308,3019.0074270189557,2995.634402886798,2975.0395001656793,2963.9705870309867
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1938.5044006817177,1949.0660635189108,1957.5947621774858,1971.6210144177796,1982.6085066501803,1997.0135753212812,2006.9278628433135,2017.027372583035,2020.0918703652214,2024.7385360900726,2022.714930964275,2028.1235968693315,2034.808256329078,2045.702249015517,2050.3869062149406,2056.24296048707,2071.5376644608823,2089.5200693001148,2100.859435217462,2100.5754686282817,2102.515334014502,2093.098611216008,2097.6223773906154,2092.4039520339697,2113.5101594542,2127.085322206684,2149.1956829222304,2162.559337372868,2171.9099964558654,2182.087228412013,2188.476112082667,2194.112253134757,2195.334406609946,2191.8297230964336,2196.16082566409,2198.223788733408,2208.667809811864,2211.9603975215628,2224.505675701834,2232.85762755269,2242.1123054744426,2248.3196422514116,2254.4282021739045,2256.2990134678903,2257.9097799754427,2261.02146489627,2267.099816301311,2270.3276424801675,2271.8440906131327,2277.3490154785873,2285.326190090092,2293.3305653832003,2302.1680586001366,2310.492683499329,2320.539530494358,2325.300011031376,2329.3382990032774,2328.6140722066903,2333.6534097890453,2335.650925512351,2347.2765005439724,2354.1208373007444,2358.2908549584304,2340.2325544373825,2321.9271547953153,,,2329.4594316761045,2344.934088371878,2360.0348744276916,2372.8519735973637,2383.61410830855,2395.7715485871386,2411.749932040733,2431.652522563023,2453.145000514457,2481.4491417308914,2528.95768870136,2603.00290383011,,2774.7706816148607,2822.8114298827863,2843.8591783847723,2858.425804250714,2875.9484002797117,2896.9777216029306,2925.3318135114723,2954.900568032415,2986.3812563273245,3012.764326212933,3034.629913161425,3045.7235781533486,3041.821345897702,3027.6210638993157,3012.2504157851126,2998.1718468834815,2991.0671169058824,2991.736269955215,3003.1006349159547,3022.0841238637117,3041.638655051491,3063.9071853675327,3095.2078978048703,3124.4627143878606,3137.1011669973122,3137.246592913606,3121.5085517170023,3114.9196600711834,3111.5344890317397
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2248.266415610103,2261.1238247854926,2280.6968832720913,2302.6107080433603,2324.515856763306,2356.15600822857,2374.4104476700636,2384.9981375453617,2397.6985820733366,2407.4952613170917,2399.6687316345465,2373.7181749184233,2361.6089079944886,2365.509614819728,2382.919472970999,2390.8404807327397,2397.248717217034,2411.775757579193,2427.5495151716223,2440.5889117995625,2442.3115004608126,2439.8725182804824,2438.6125585365758,2426.2119225864685,2418.249664179565,2407.964531834253,2413.020236348205,2422.716369130747,2438.040845432714,2453.7652610997916,2469.520114412869,2483.489040233127,2482.166068880285,2463.9764828277466,2443.9972054287587,2431.3475155392093,2431.466664140069,2431.8461974767124,2445.026554242455,2462.7884592376895,2483.521522049785,2498.303516583552,2509.399090862897,2519.1479438833403,2518.5430895883032,2510.4708409031546,2495.5016811430355,2482.4224868734914,2484.9059052193124,2496.701940207933,2519.0374745123845,2535.53517602058,2559.9063416999,2577.6910600829247,2599.767623011955,2615.38989259106,2629.788991493641,2633.6732834523727,2628.6252488455907,2619.7829765678807,2620.728045302559,2631.067032528489,2647.746263606491,2640.5016413188937,2621.570938337687,2590.921829336352,2567.917969607411,2533.6775885795337,2486.876890073387,2443.5613586151585,2413.135277575057,2393.17522905554,2388.362565393236,2392.296150685336,2417.342725844755,2448.3559783019878,2486.709917230339,2535.065491983581,2587.2027007091324,2641.656349891087,2691.0542349057223,2714.9788792781856,2737.1835803617937,2743.443544584331,2774.751962855606,2808.0552244735527,2858.4182914241496,2907.0220674536317,2966.7587187072113,3031.379388001203,3090.5068390632273,3132.559231806056,3140.2087883653703,3129.0577972982683,3087.016334291235,3056.7537513703596,3045.2366131270414,3059.9849538508256,3077.353342537662,3105.9864066709997,3143.728311332205,3188.2337655859965,3219.3126156560697,3235.2094057791155,3242.635031008032,3225.2888159602785,3186.785559772167,3156.1696113199264,3154.9556687214103
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1661.8019097143297,1673.065304181898,1686.194392880673,1696.5740232069847,1708.587270117542,1716.3323279085987,1723.1789310456452,1729.122316173081,1738.4316474008726,1740.437949767852,1744.8233569630383,1748.9966784801597,1757.6023427480131,1761.308653504338,1762.6631661721335,1762.3161415225766,1764.2119575649856,1762.9225236141858,1761.5666540640325,1758.6463540096356,1758.1428833558366,1755.3959762130896,1752.2177317756345,1743.3318005895123,1748.1393892844508,1753.178605122149,1766.0570217536347,1767.1871475587122,1770.6500457992706,1773.0365797332747,1776.1155547886792,1778.6042697475702,1780.5459695997004,1784.798777932261,1785.2408615419693,1785.9674581359434,1786.7883891860722,1791.0812171893933,1796.4503807026151,1802.4923937999367,1805.515508959898,1812.0670771185917,1816.4866221592763,1823.0457738638631,1826.0166761818475,1829.5337553713061,1832.1999391347595,1835.4296410527577,1836.411422646252,1835.8709406890314,1837.7322550304436,1842.901411577037,1848.8207248961978,1852.5084008110916,1853.3615374444846,1856.8156569206874,1858.3462995247587,1867.436060796741,1877.5678257662094,1888.1135490207994,1892.328378288044,1893.505320760492,1893.406342181522,1882.138841291275,1869.8560612108904,1862.8638704870134,1865.3502483252462,1866.4442399548382,1863.9010125610907,1869.0936474341015,1885.0926925848457,1902.509545359327,1929.757101503938,1961.6847345725664,2000.1738315138846,2037.4876211718513,2085.5171339296207,,2219.5797168269182,2284.566962871783,2343.898467661246,2394.6412101333635,2440.9164441798534,2498.5097437888126,2550.8610739943106,2616.1756087594385,2678.1297933499586,2740.517730972182,2790.816550647806,2817.8682140633146,2839.6116183273502,2847.8690195295458,2853.879229647233,2848.2820293203526,2843.949977990532,2845.4173897332153,2850.1656723594924,2863.564075242044,2876.4799604720342,2894.486212835804,2900.5618937195995,2900.750579943872,2898.432019043361,2892.0918536343074,2888.899104466765,2887.9605834749896,2894.7676484499616,2891.6451874103736,2896.594933602384
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1091.2685158726895,1094.454728354511,1101.5986223586576,1115.2899721812582,1128.8304510155976,1138.7837599829252,1147.2342558227494,1149.7844057318644,1151.681909163797,1153.985212857319,1159.3943183121064,1163.7994401173298,1165.7116511872414,1170.6048603524396,1178.2990974854547,1188.1503183180102,1196.3159698442958,1205.6301906582921,1210.3510637832953,1212.9353992350202,1211.5516544104235,1208.8768363298175,1212.3480530792194,1213.9961375335818,1229.3710205466389,1235.5034811544995,1250.4845240768657,1257.0090653816198,1269.8345033495164,1274.1136981814586,1279.3358931564019,1279.726269363237,1280.6440500488218,1278.8352325950254,1285.9175678300128,1290.1101446897644,1294.6620370276155,1300.7602632596593,1304.6408522526424,1309.3205798383572,1309.0390927449,1320.6193231773077,1325.8792070721888,1330.5629893568082,1324.0316471104786,1327.4858346063766,1328.1516062339274,1332.4814798845916,1335.9275287860157,1340.381949016868,1349.835092817368,1358.0561553238258,1366.1365710963962,1377.1595489679971,1380.6459736162265,1384.9230821044785,1383.377844480872,1382.8193272959365,1378.3157702804615,1372.6801267583435,1376.3400349454353,1382.9174830894149,1390.194338272766,1388.8779825927024,1385.6103457632887,1384.155560208553,1384.7673337967412,1387.3493293541358,1390.7692373673115,1395.6912960872617,1399.0135124297024,1401.6866313145465,1399.8722947050787,1404.6145618911908,1413.0889421484646,1435.7342722883825,1463.180502746996,1496.2514599654578,1529.8726760829918,1559.7083252275597,1584.8443075495336,1597.9382067946171,1609.0510489688234,1615.9704631389961,1631.260329269871,1647.971714721907,1661.0474924645225,1681.6828115088033,1705.3131986078072,1741.9919360997649,1764.1191421009676,1773.0524550236535,1767.8360544992777,1753.9133928254573,1740.8296662398793,1728.103786379647,1724.9830735379428,1728.0956077876983,1737.0056598383385,1746.3202694386598,1755.690282065862,1765.24775039234,1771.4901880755474,1772.9191340798025,1768.9120338722278,1761.2059479493278,1755.830770890554,1747.995388900711,1744.2905032884112
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1403.9948622314228,1408.2254046186918,1410.6192566472876,1418.3738998821802,1424.625276009761,1437.5452397878973,1446.798772233388,1452.786784694792,1458.4739378946522,1465.466655924523,1470.8391282596078,1474.9221429346783,1474.4474800534633,1482.780016117721,1486.5152572319357,1496.3196406482791,1501.833587840466,1504.133824132406,1508.1641970430667,1513.196406065511,1528.7442373899873,1529.1056516886201,1536.0012662744177,1531.6464284134054,1548.4068824565336,1557.1406083147326,1571.5923259436563,1579.3900452914127,1586.6097027831934,1598.099497269578,1608.7947252642969,1621.4472112590292,1627.6221402639817,1633.3241451929753,1638.6872461355206,1641.347363119166,1646.8083834831057,1654.5354983426475,1666.7207888193404,1672.4138682369464,1676.8319420537953,1684.7218086665387,1693.4821206175977,1704.6865476310143,1716.3620157432065,1728.4770375292576,1735.2945460940657,1740.3622995686496,1743.4672356160854,1746.2819219932703,1750.8502426353318,1760.5644039421768,1770.6659811099112,1780.1584774215712,1787.323609366344,1797.8522201213418,1804.9917556406308,1813.2780031481354,1814.618955514651,1820.8675102378056,1822.6999661753748,1830.9082002783332,1833.9265739588204,1830.2516889664,1824.659403572598,1830.528289299489,1852.1686156956835,1886.602189880302,1917.9278349594026,1947.6093952383144,1975.8440548163844,1999.0149404684541,2020.9128376653211,2041.7934985373101,2068.3150930663273,2089.396364642301,2130.0038882954404,2171.1802343490244,2232.492943195213,2274.6553175453328,2314.585642215982,2331.6385498327477,2353.7578609370253,2363.520054034878,2387.917731881562,2400.5831468027804,2433.2499860817115,2454.475400427638,2473.693943833769,2487.8494633702744,2505.803938590021,2518.547259083109,2524.8211651972465,2519.5952467781935,2512.809064551727,2500.5070468575313,2499.0607576175794,2506.1007980935615,2514.4234675674184,2521.445013107459,2523.481636740388,2528.1626916587406,2529.3713167192514,2541.2465591761015,2546.3415106352936,2572.5470731541845,2573.459750455588,2583.1245345786037,2566.704233788245
