RegionName,rent_date,avg_rents,avg_rents_yy
Maricopa County,2015-03-31,1001.4406574558884,NA
Maricopa County,2015-04-30,1014.1374957453332,NA
Maricopa County,2015-05-31,1017.3540303128178,NA
Maricopa County,2015-06-30,1026.1931242075004,NA
Maricopa County,2015-07-31,1027.7590214997797,NA
Maricopa County,2015-08-31,1030.745551736018,NA
Maricopa County,2015-09-30,1034.2413376849213,NA
Maricopa County,2015-10-31,1036.5860468584879,NA
Maricopa County,2015-11-30,1038.8923463313527,NA
Maricopa County,2015-12-31,1040.302736634766,NA
Maricopa County,2016-01-31,1046.144640576817,NA
Maricopa County,2016-02-29,1052.9982543383308,NA
Maricopa County,2016-03-31,1061.7969908303578,NA
Maricopa County,2016-04-30,1069.1000471043722,NA
Maricopa County,2016-05-31,1076.9993858780647,NA
Maricopa County,2016-06-30,1082.4405498649205,NA
Maricopa County,2016-07-31,1086.9285849916587,NA
Maricopa County,2016-08-31,1088.7076652077092,NA
Maricopa County,2016-09-30,1089.374773088088,NA
Maricopa County,2016-10-31,1090.1866624785741,NA
Maricopa County,2016-11-30,1091.316495957989,NA
Maricopa County,2016-12-31,1093.17447746242,NA
Maricopa County,2017-01-31,1097.8480325505018,NA
Maricopa County,2017-02-28,1105.6999511757078,NA
Maricopa County,2017-03-31,1115.8799262381594,0.1142746381727684
Maricopa County,2017-04-30,1125.4478952271982,0.10975868651820053
Maricopa County,2017-05-31,1134.7801638840033,0.115423077977171
Maricopa County,2017-06-30,1142.4922948362382,0.11333068589652884
Maricopa County,2017-07-31,1149.3613664162285,0.11831795427978631
Maricopa County,2017-08-31,1153.3014045756636,0.11890020057155026
Maricopa County,2017-09-30,1154.4223225914736,0.11620207056852827
Maricopa County,2017-10-31,1155.8914236122,0.11509452313706414
Maricopa County,2017-11-30,1156.9583523832264,0.1136460447213814
Maricopa County,2017-12-31,1158.8809609417835,0.1139843433370189
Maricopa County,2018-01-31,1162.576590906312,0.1112962259839112
Maricopa County,2018-02-28,1167.521281498649,0.10875899051920146
Maricopa County,2018-03-31,1180.7810823561458,0.1120591719069941
Maricopa County,2018-04-30,1195.1276051569346,0.11788191235600864
Maricopa County,2018-05-31,1209.6052094017957,0.12312525453820866
Maricopa County,2018-06-30,1217.2213876203816,0.12451569536292828
Maricopa County,2018-07-31,1223.919833803324,0.12603518823890036
Maricopa County,2018-08-31,1230.990096345534,0.1306892894068854
Maricopa County,2018-09-30,1236.8605775931044,0.13538573514689833
Maricopa County,2018-10-31,1242.475804955451,0.13969088755006642
Maricopa County,2018-11-30,1247.2599005717238,0.14289475618788594
Maricopa County,2018-12-31,1253.1216097187043,0.14631436751758842
Maricopa County,2019-01-31,1255.9345059266368,0.1439966814066891
Maricopa County,2019-02-28,1264.66893535926,0.14377226300364576
Maricopa County,2019-03-31,1275.3299528702694,0.14289174209777733
Maricopa County,2019-04-30,1291.4663708429548,0.14751324900940155
Maricopa County,2019-05-31,1304.037819515134,0.14915457726350612
Maricopa County,2019-06-30,1316.3236200089063,0.1521509825128271
Maricopa County,2019-07-31,1324.9628484152881,0.15278178572035594
Maricopa County,2019-08-31,1333.075465594733,0.15587777861522167
Maricopa County,2019-09-30,1335.3251094728423,0.15670416566033984
Maricopa County,2019-10-31,1339.3648430706307,0.15872893916374098
Maricopa County,2019-11-30,1342.1055314661235,0.16002925144324442
Maricopa County,2019-12-31,1354.6905638358835,0.16896437985742052
Maricopa County,2020-01-31,1363.747394984226,0.1730387534477078
Maricopa County,2020-02-29,1377.0112440299745,0.17943138669165926
Maricopa County,2020-03-31,1381.2693874555237,0.16979295154299123
Maricopa County,2020-04-30,1379.1880813916066,0.154009057644102
Maricopa County,2020-05-31,1373.7071577884815,0.13566570903562947
Maricopa County,2020-06-30,1375.0309502804105,0.12964737907583124
Maricopa County,2020-07-31,1387.6030707569398,0.13373689389849241
Maricopa County,2020-08-31,1404.5462402941962,0.14098906600784344
Maricopa County,2020-09-30,1422.0787589728056,0.1497486335445588
Maricopa County,2020-10-31,1438.2059751712827,0.15753237965293798
Maricopa County,2020-11-30,1454.3124378834407,0.1660059280482018
Maricopa County,2020-12-31,1464.9668306324133,0.169054000242852
Maricopa County,2021-01-31,1478.9143202094094,0.17754095713634088
Maricopa County,2021-02-28,1489.5292679699344,0.17780173634675167
Maricopa County,2021-03-31,1514.7719423895244,0.187749051906422
Maricopa County,2021-04-30,1547.0222455772484,0.19788039433616023
Maricopa County,2021-05-31,1596.8501303922083,0.22454280581060715
Maricopa County,2021-06-30,1648.7064923151001,0.252508476831818
Maricopa County,2021-07-31,1706.653912577258,0.2880768050353175
Maricopa County,2021-08-31,1757.0995815558435,0.31807960382193223
Maricopa County,2021-09-30,1795.6641615981725,0.3447393064502937
Maricopa County,2021-10-31,1819.6018424823133,0.3585557750722277
Maricopa County,2021-11-30,1836.642700193461,0.3684786010732721
Maricopa County,2021-12-31,1849.2995998980928,0.36510849729527584
Maricopa County,2022-01-31,1858.619329514022,0.3628765388296269
Maricopa County,2022-02-28,1867.736222509703,0.35636962341975376
Maricopa County,2022-03-31,1883.3587337885021,0.3634984970295272
Maricopa County,2022-04-30,1899.4477074224742,0.37722166617472763
Maricopa County,2022-05-31,1914.0154006340906,0.393321269225565
Maricopa County,2022-06-30,1920.9151881065584,0.39699778227888305
Maricopa County,2022-07-31,1925.1605956112214,0.38740006863853593
Maricopa County,2022-08-31,1921.7579186066491,0.36824111835870754
Maricopa County,2022-09-30,1915.0641931814487,0.34666535246243013
Maricopa County,2022-10-31,1904.3319809290676,0.3241023982689766
